"Recto";"Verso";"Tags"
"À quel procédé ne faut-il pas la confondre ?";"la métaphore";"bac_francais procedes procedes_personnification"
"Mini-situation : le vent hurle. Quel procédé faut-il repérer ?";"personnification";"bac_francais procedes procedes_personnification"
"Complète la phrase d’analyse liée à une personnification.";"La personnification donne vie à [élément] et renforce l’impression de [effet].";"bac_francais procedes procedes_personnification"
"Qu’est-ce qu’une antithèse ?";"opposition nette entre deux idées ou deux termes";"bac_francais procedes procedes_antithese"
"Comment reconnaître une antithèse dans un texte ?";"on repère deux éléments contraires dans le texte";"bac_francais procedes procedes_antithese"
"Quel effet principal produit une antithèse ?";"faire ressortir une tension";"bac_francais procedes procedes_antithese"
"Quel autre effet peut produire une antithèse ?";"mettre en valeur un contraste";"bac_francais procedes procedes_antithese"
"Dans un commentaire, à quoi sert une antithèse ?";"montrer un conflit ou une opposition d’idées";"bac_francais procedes procedes_antithese"
"Quelle erreur fréquente faut-il éviter avec une antithèse ?";"la réduire à un simple contraste sans interprétation";"bac_francais procedes procedes_antithese"
"À quel procédé ne faut-il pas la confondre ?";"l’oxymore";"bac_francais procedes procedes_antithese"
"Mini-situation : ombre et lumière. Quel procédé faut-il repérer ?";"antithèse";"bac_francais procedes procedes_antithese"
"Complète la phrase d’analyse liée à une antithèse.";"L'antithèse souligne l'opposition entre [idée 1] et [idée 2].";"bac_francais procedes procedes_antithese"
"Qu’est-ce qu’un oxymore ?";"association de deux termes opposés dans le même groupe";"bac_francais procedes procedes_oxymore"
"Comment reconnaître un oxymore dans un texte ?";"deux mots contraires sont placés côte à côte";"bac_francais procedes procedes_oxymore"
"Quel effet principal produit un oxymore ?";"créer un choc";"bac_francais procedes procedes_oxymore"
"Quel autre effet peut produire un oxymore ?";"montrer une idée complexe";"bac_francais procedes procedes_oxymore"
"Dans un commentaire, à quoi sert un oxymore ?";"faire sentir une tension ou un paradoxe";"bac_francais procedes procedes_oxymore"
"Quelle erreur fréquente faut-il éviter avec un oxymore ?";"le confondre avec l’antithèse";"bac_francais procedes procedes_oxymore"
"À quel procédé ne faut-il pas le confondre ?";"l’antithèse";"bac_francais procedes procedes_oxymore"
"Mini-situation : silence assourdissant. Quel procédé faut-il repérer ?";"oxymore";"bac_francais procedes procedes_oxymore"
"Complète la phrase d’analyse liée à un oxymore.";"L’oxymore rapproche deux contraires pour rendre l’idée plus forte.";"bac_francais procedes procedes_oxymore"
"Qu’est-ce qu’une gradation ?";"succession de termes qui monte ou descend en intensité";"bac_francais procedes procedes_gradation"
"Comment reconnaître une gradation dans un texte ?";"on voit une progression dans la force des mots";"bac_francais procedes procedes_gradation"
"Quel effet principal produit une gradation ?";"faire monter la tension";"bac_francais procedes procedes_gradation"
"Quel autre effet peut produire une gradation ?";"donner un effet de crescendo";"bac_francais procedes procedes_gradation"
"Dans un commentaire, à quoi sert une gradation ?";"accentuer une émotion ou une action";"bac_francais procedes procedes_gradation"
"Quelle erreur fréquente faut-il éviter avec une gradation ?";"la confondre avec une simple liste";"bac_francais procedes procedes_gradation"
"À quel procédé ne faut-il pas la confondre ?";"l’énumération";"bac_francais procedes procedes_gradation"
"Mini-situation : je tremble, je frissonne, je m’effondre. Quel procédé faut-il repérer ?";"gradation";"bac_francais procedes procedes_gradation"
"Complète la phrase d’analyse liée à une gradation.";"La gradation fait progresser l’intensité de [idée] jusqu’au maximum.";"bac_francais procedes procedes_gradation"
"Qu’est-ce qu’une litote ?";"façon d’atténuer une idée pour en suggérer une plus forte";"bac_francais procedes procedes_litote"
"Comment reconnaître une litote dans un texte ?";"on dit moins que ce que l’on pense vraiment";"bac_francais procedes procedes_litote"
"Quel effet principal produit une litote ?";"suggérer avec finesse";"bac_francais procedes procedes_litote"
"Quel autre effet peut produire une litote ?";"renforcer une émotion en la calmant";"bac_francais procedes procedes_litote"
"Dans un commentaire, à quoi sert une litote ?";"faire comprendre plus qu’on ne dit";"bac_francais procedes procedes_litote"
"Quelle erreur fréquente faut-il éviter avec une litote ?";"la prendre pour une faiblesse d’expression";"bac_francais procedes procedes_litote"
"À quel procédé ne faut-il pas la confondre ?";"l’hyperbole";"bac_francais procedes procedes_litote"
"Mini-situation : ce n’est pas mauvais. Quel procédé faut-il repérer ?";"litote";"bac_francais procedes procedes_litote"
"Complète la phrase d’analyse liée à une litote.";"La litote dit moins pour suggérer davantage.";"bac_francais procedes procedes_litote"
"Qu’est-ce que l’ironie ?";"façon de dire le contraire de ce que l’on pense pour critiquer";"bac_francais procedes procedes_ironie"
"Comment reconnaître l'ironie dans un texte ?";"il y a un décalage entre les mots et l’intention";"bac_francais procedes procedes_ironie"
"Quel effet principal produit l'ironie ?";"créer une distance critique";"bac_francais procedes procedes_ironie"
"Quel autre effet peut produire l'ironie ?";"faire sourire ou dénoncer";"bac_francais procedes procedes_ironie"
"Dans un commentaire, à quoi sert l'ironie ?";"montrer un jugement sans l’annoncer directement";"bac_francais procedes procedes_ironie"
"Quelle erreur fréquente faut-il éviter avec l'ironie ?";"la lire au premier degré";"bac_francais procedes procedes_ironie"
"À quel procédé ne faut-il pas la confondre ?";"un compliment sincère";"bac_francais procedes procedes_ironie"
"Mini-situation : quel génie, vraiment !. Quel procédé faut-il repérer ?";"ironie";"bac_francais procedes procedes_ironie"
"Complète la phrase d’analyse liée à l'ironie.";"L’ironie permet une critique indirecte mais efficace.";"bac_francais procedes procedes_ironie"
"Qu’est-ce qu’une énumération ?";"succession d’éléments présentés les uns après les autres";"bac_francais procedes procedes_enumeration"
"Comment reconnaître une énumération dans un texte ?";"plusieurs mots ou groupes sont alignés ou séparés par des virgules";"bac_francais procedes procedes_enumeration"
"Quel effet principal produit une énumération ?";"donner des détails";"bac_francais procedes procedes_enumeration"
"Quel autre effet peut produire une énumération ?";"insister par accumulation";"bac_francais procedes procedes_enumeration"
"Dans un commentaire, à quoi sert une énumération ?";"faire sentir la richesse ou la diversité d’un ensemble";"bac_francais procedes procedes_enumeration"
"Quelle erreur fréquente faut-il éviter avec une énumération ?";"la confondre avec l’accumulation";"bac_francais procedes procedes_enumeration"
"À quel procédé ne faut-il pas la confondre ?";"l’accumulation";"bac_francais procedes procedes_enumeration"
"Mini-situation : livres, cahiers, stylos. Quel procédé faut-il repérer ?";"énumération";"bac_francais procedes procedes_enumeration"
"Complète la phrase d’analyse liée à une énumération.";"L’énumération donne plus de précision et de richesse au passage.";"bac_francais procedes procedes_enumeration"
"Qu’est-ce qu’un champ lexical ?";"ensemble de mots liés à la même idée ou au même thème";"bac_francais procedes procedes_champ_lexical"
"Comment reconnaître un champ lexical dans un texte ?";"plusieurs mots appartiennent au même univers de sens";"bac_francais procedes procedes_champ_lexical"
"Quel effet principal produit un champ lexical ?";"installer une atmosphère";"bac_francais procedes procedes_champ_lexical"
"Quel autre effet peut produire un champ lexical ?";"orienter la lecture vers une idée centrale";"bac_francais procedes procedes_champ_lexical"
"Dans un commentaire, à quoi sert un champ lexical ?";"montrer qu’un thème domine le passage";"bac_francais procedes procedes_champ_lexical"
"Quelle erreur fréquente faut-il éviter avec un champ lexical ?";"le confondre avec le thème lui-même";"bac_francais procedes procedes_champ_lexical"
"À quel procédé ne faut-il pas le confondre ?";"le thème";"bac_francais procedes procedes_champ_lexical"
"Mini-situation : des mots de peur dans un passage. Quel procédé faut-il repérer ?";"champ lexical";"bac_francais procedes procedes_champ_lexical"
"Complète la phrase d’analyse liée à un champ lexical.";"Le champ lexical de [thème] installe une atmosphère de [effet].";"bac_francais procedes procedes_champ_lexical"
"Qu’est-ce qu’une allitération ?";"répétition de consonnes ou de sons consonantiques";"bac_francais procedes procedes_alliteration"
"Comment reconnaître une allitération dans un texte ?";"on entend plusieurs fois les mêmes consonnes";"bac_francais procedes procedes_alliteration"
"Quel effet principal produit une allitération ?";"donner une musicalité";"bac_francais procedes procedes_alliteration"
"Quel autre effet peut produire une allitération ?";"souligner une ambiance";"bac_francais procedes procedes_alliteration"
"Dans un commentaire, à quoi sert une allitération ?";"marquer un passage par un effet sonore";"bac_francais procedes procedes_alliteration"
"Quelle erreur fréquente faut-il éviter avec une allitération ?";"la confondre avec l’assonance";"bac_francais procedes procedes_alliteration"
"À quel procédé ne faut-il pas la confondre ?";"l’assonance";"bac_francais procedes procedes_alliteration"
"Mini-situation : pour qui sont ces serpents qui sifflent. Quel procédé faut-il repérer ?";"allitération";"bac_francais procedes procedes_alliteration"
"Complète la phrase d’analyse liée à une allitération.";"L'allitération donne au passage une sonorité marquée et renforce [effet].";"bac_francais procedes procedes_alliteration"
"Qu’est-ce qu’une assonance ?";"répétition de sons vocaliques";"bac_francais procedes procedes_assonance"
"Comment reconnaître une assonance dans un texte ?";"on entend revenir les mêmes voyelles";"bac_francais procedes procedes_assonance"
"Quel effet principal produit une assonance ?";"donner une musicalité";"bac_francais procedes procedes_assonance"
"Quel autre effet peut produire une assonance ?";"créer une ambiance douce ou tendue";"bac_francais procedes procedes_assonance"
"Dans un commentaire, à quoi sert une assonance ?";"faire sentir une couleur sonore";"bac_francais procedes procedes_assonance"
"Quelle erreur fréquente faut-il éviter avec une assonance ?";"la confondre avec l’allitération";"bac_francais procedes procedes_assonance"
"À quel procédé ne faut-il pas la confondre ?";"l’allitération";"bac_francais procedes procedes_assonance"
"Mini-situation : les sanglots longs des violons. Quel procédé faut-il repérer ?";"assonance";"bac_francais procedes procedes_assonance"
"Complète la phrase d’analyse liée à une assonance.";"L'assonance donne une musicalité qui renforce [effet].";"bac_francais procedes procedes_assonance"
"Qu’est-ce qu’une question rhétorique ?";"question posée sans attendre de réponse";"bac_francais procedes procedes_question_rhetorique"
"Comment reconnaître une question rhétorique dans un texte ?";"la question sert à convaincre ou à affirmer une évidence";"bac_francais procedes procedes_question_rhetorique"
"Quel effet principal produit une question rhétorique ?";"impliquer le lecteur";"bac_francais procedes procedes_question_rhetorique"
"Quel autre effet peut produire une question rhétorique ?";"souligner l’évidence ou la révolte";"bac_francais procedes procedes_question_rhetorique"
"Dans un commentaire, à quoi sert une question rhétorique ?";"faire réfléchir ou faire adhérer le lecteur";"bac_francais procedes procedes_question_rhetorique"
"Quelle erreur fréquente faut-il éviter avec une question rhétorique ?";"chercher une réponse réelle";"bac_francais procedes procedes_question_rhetorique"
"À quel procédé ne faut-il pas la confondre ?";"une vraie question d’information";"bac_francais procedes procedes_question_rhetorique"
"Mini-situation : qui pourrait accepter cela ?. Quel procédé faut-il repérer ?";"question rhétorique";"bac_francais procedes procedes_question_rhetorique"
"Complète la phrase d’analyse liée à une question rhétorique.";"La question rhétorique pousse le lecteur à partager le point de vue du texte.";"bac_francais procedes procedes_question_rhetorique"
"Qu’est-ce qu’une accumulation ?";"série de mots ou de groupes ajoutés les uns aux autres";"bac_francais procedes procedes_accumulation"
"Comment reconnaître une accumulation dans un texte ?";"la phrase enchaîne beaucoup d’éléments";"bac_francais procedes procedes_accumulation"
"Quel effet principal produit une accumulation ?";"donner une impression d’abondance";"bac_francais procedes procedes_accumulation"
"Quel autre effet peut produire une accumulation ?";"faire sentir le débordement";"bac_francais procedes procedes_accumulation"
"Dans un commentaire, à quoi sert une accumulation ?";"montrer qu’une idée ou une sensation prend de l’ampleur";"bac_francais procedes procedes_accumulation"
"Quelle erreur fréquente faut-il éviter avec une accumulation ?";"la confondre avec l’énumération simple";"bac_francais procedes procedes_accumulation"
"À quel procédé ne faut-il pas la confondre ?";"l’énumération";"bac_francais procedes procedes_accumulation"
"Mini-situation : des cris, des pleurs, des gestes, des regards. Quel procédé faut-il repérer ?";"accumulation";"bac_francais procedes procedes_accumulation"
"Complète la phrase d’analyse liée à une accumulation.";"L’accumulation donne l’impression d’un trop-plein ou d’un débordement.";"bac_francais procedes procedes_accumulation"
"Qu’est-ce qu’une répétition ?";"retour d’un mot, d’une idée ou d’une expression dans le texte";"bac_francais procedes procedes_repetition"
"Comment reconnaître une répétition dans un texte ?";"un même terme revient plusieurs fois";"bac_francais procedes procedes_repetition"
"Quel effet principal produit une répétition ?";"insister sur une idée";"bac_francais procedes procedes_repetition"
"Quel autre effet peut produire une répétition ?";"donner de la cohérence au passage";"bac_francais procedes procedes_repetition"
"Dans un commentaire, à quoi sert une répétition ?";"faire comprendre qu’une idée est centrale";"bac_francais procedes procedes_repetition"
"Quelle erreur fréquente faut-il éviter avec une répétition ?";"la confondre avec l’anaphore";"bac_francais procedes procedes_repetition"
"À quel procédé ne faut-il pas la confondre ?";"l’anaphore";"bac_francais procedes procedes_repetition"
"Mini-situation : un mot revient plusieurs fois sans être en début de phrase. Quel procédé faut-il repérer ?";"répétition";"bac_francais procedes procedes_repetition"
"Complète la phrase d’analyse liée à une répétition.";"La répétition met en relief une idée que le texte veut faire retenir.";"bac_francais procedes procedes_repetition"
"À quoi sert le commentaire de texte ?";"expliquer comment un texte produit du sens";"bac_francais methodologie method_commentaire"
"Que faire en premier pour le commentaire de texte ?";"lire pour comprendre le sens général";"bac_francais methodologie method_commentaire"
"Quelle erreur fréquente éviter avec le commentaire de texte ?";"raconter le texte au lieu de l’analyser";"bac_francais methodologie method_commentaire"
"Mini-situation : lire pour comprendre le sens général. Que faut-il faire ?";"lire pour comprendre le sens général";"bac_francais methodologie method_commentaire"
"Phrase utile à retenir pour le commentaire de texte.";"procédé -> effet -> interprétation";"bac_francais methodologie method_commentaire"
"Que vérifier à la fin ?";"chaque citation sert une idée d’axe";"bac_francais methodologie method_commentaire"
"Complète la formule liée au commentaire de texte.";"Le commentaire sert à montrer comment le texte produit du sens.";"bac_francais methodologie method_commentaire"
"À quoi sert l'introduction du commentaire ?";"présenter le texte sans biographie longue";"bac_francais methodologie method_introduction_commentaire"
"Que faire en premier pour l'introduction du commentaire ?";"aller du contexte vers la problématique";"bac_francais methodologie method_introduction_commentaire"
"Quelle erreur fréquente éviter avec l'introduction du commentaire ?";"faire une biographie inutile";"bac_francais methodologie method_introduction_commentaire"
"Mini-situation : aller du contexte vers la problématique. Que faut-il faire ?";"aller du contexte vers la problématique";"bac_francais methodologie method_introduction_commentaire"
"Phrase utile à retenir pour l'introduction du commentaire.";"Dans cet extrait, [auteur] met en scène [situation] afin de montrer [enjeu].";"bac_francais methodologie method_introduction_commentaire"
"Que vérifier à la fin ?";"auteur, texte, enjeu, problématique";"bac_francais methodologie method_introduction_commentaire"
"Complète la formule liée à l’introduction du commentaire.";"L’introduction va du contexte à la problématique.";"bac_francais methodologie method_introduction_commentaire"
"À quoi sert la problématique ?";"formuler une question simple qui guide l’analyse";"bac_francais methodologie method_problematique"
"Que faire en premier pour la problématique ?";"partir d’un enjeu du texte";"bac_francais methodologie method_problematique"
"Quelle erreur fréquente éviter avec la problématique ?";"demander seulement de quoi parle le texte";"bac_francais methodologie method_problematique"
"Mini-situation : partir d’un enjeu du texte. Que faut-il faire ?";"partir d’un enjeu du texte";"bac_francais methodologie method_problematique"
"Phrase utile à retenir pour la problématique.";"Comment [auteur] met-il en valeur [idée] ?";"bac_francais methodologie method_problematique"
"Que vérifier à la fin ?";"la question doit recevoir une réponse en axes";"bac_francais methodologie method_problematique"
"Complète la formule liée à la problématique.";"La problématique doit être précise et ouverte.";"bac_francais methodologie method_problematique"
"À quoi sert le plan du commentaire ?";"organiser deux ou trois axes qui répondent à la problématique";"bac_francais methodologie method_plan_commentaire"
"Que faire en premier pour le plan du commentaire ?";"regrouper les citations par idées";"bac_francais methodologie method_plan_commentaire"
"Quelle erreur fréquente éviter avec le plan du commentaire ?";"faire deux axes qui disent la même chose";"bac_francais methodologie method_plan_commentaire"
"Mini-situation : regrouper les citations par idées. Que faut-il faire ?";"regrouper les citations par idées";"bac_francais methodologie method_plan_commentaire"
"Phrase utile à retenir pour le plan du commentaire.";"Nous verrons d’abord [axe 1], puis [axe 2], avant d’étudier [axe 3].";"bac_francais methodologie method_plan_commentaire"
"Que vérifier à la fin ?";"chaque axe apporte une idée différente";"bac_francais methodologie method_plan_commentaire"
"Complète la formule liée au plan du commentaire.";"Un bon plan va du plus visible au plus interprétatif.";"bac_francais methodologie method_plan_commentaire"
"À quoi sert le paragraphe PECA ?";"rédiger un paragraphe d’analyse solide";"bac_francais methodologie method_paragraphe_peca"
"Que faire en premier pour le paragraphe PECA ?";"identifier le procédé puis expliquer l’effet";"bac_francais methodologie method_paragraphe_peca"
"Quelle erreur fréquente éviter avec le paragraphe PECA ?";"oublier le commentaire";"bac_francais methodologie method_paragraphe_peca"
"Mini-situation : identifier le procédé puis expliquer l’effet. Que faut-il faire ?";"identifier le procédé puis expliquer l’effet";"bac_francais methodologie method_paragraphe_peca"
"Phrase utile à retenir pour le paragraphe PECA.";"P = procédé, E = exemple, C = commentaire, A = analyse";"bac_francais methodologie method_paragraphe_peca"
"Que vérifier à la fin ?";"la citation est courte et analysée";"bac_francais methodologie method_paragraphe_peca"
"Complète la formule liée au paragraphe PECA.";"Le PECA relie forme et sens.";"bac_francais methodologie method_paragraphe_peca"
"À quoi sert la conclusion du commentaire ?";"répondre clairement à la problématique";"bac_francais methodologie method_conclusion_commentaire"
"Que faire en premier pour la conclusion du commentaire ?";"faire un bilan bref des axes";"bac_francais methodologie method_conclusion_commentaire"
"Quelle erreur fréquente éviter avec la conclusion du commentaire ?";"ajouter une nouvelle idée importante";"bac_francais methodologie method_conclusion_commentaire"
"Mini-situation : faire un bilan bref des axes. Que faut-il faire ?";"faire un bilan bref des axes";"bac_francais methodologie method_conclusion_commentaire"
"Phrase utile à retenir pour la conclusion du commentaire.";"Ainsi, le texte montre que [réponse].";"bac_francais methodologie method_conclusion_commentaire"
"Que vérifier à la fin ?";"bilan + réponse + ouverture légère";"bac_francais methodologie method_conclusion_commentaire"
"Complète la formule liée à la conclusion du commentaire.";"La conclusion ferme la lecture.";"bac_francais methodologie method_conclusion_commentaire"
"À quoi sert la gestion du temps ?";"respecter les 4 heures sans se bloquer";"bac_francais methodologie method_gestion_du_temps"
"Que faire en premier pour la gestion du temps ?";"20 min lecture, 25 min problématique/plan, 2h rédaction, 15 min relecture";"bac_francais methodologie method_gestion_du_temps"
"Quelle erreur fréquente éviter avec la gestion du temps ?";"passer trop de temps sur l’introduction";"bac_francais methodologie method_gestion_du_temps"
"Mini-situation : 20 min lecture, 25 min problématique/plan, 2h rédaction, 15 min relecture. Que faut-il faire ?";"20 min lecture, 25 min problématique/plan, 2h rédaction, 15 min relecture";"bac_francais methodologie method_gestion_du_temps"
"Phrase utile à retenir pour la gestion du temps.";"Avancer vite mais proprement.";"bac_francais methodologie method_gestion_du_temps"
"Que vérifier à la fin ?";"avoir fini une rédaction complète";"bac_francais methodologie method_gestion_du_temps"
"Complète la formule liée à la gestion du temps.";"Le temps doit servir la copie, pas l’inverse.";"bac_francais methodologie method_gestion_du_temps"
"À quoi sert des axes solides ?";"passer de l’observation à l’interprétation";"bac_francais methodologie method_construire_des_axes_solides"
"Que faire en premier pour des axes solides ?";"transformer les constats en idées";"bac_francais methodologie method_construire_des_axes_solides"
"Quelle erreur fréquente éviter avec des axes solides ?";"faire un axe descriptif";"bac_francais methodologie method_construire_des_axes_solides"
"Mini-situation : transformer les constats en idées. Que faut-il faire ?";"transformer les constats en idées";"bac_francais methodologie method_construire_des_axes_solides"
"Phrase utile à retenir pour des axes solides.";"Le texte montre que...";"bac_francais methodologie method_construire_des_axes_solides"
"Que vérifier à la fin ?";"chaque axe répond à la problématique";"bac_francais methodologie method_construire_des_axes_solides"
"Complète la formule liée à des axes solides.";"Un axe est une idée, pas un thème.";"bac_francais methodologie method_construire_des_axes_solides"
"À quoi sert la checklist de relecture ?";"corriger l’essentiel en 10 à 15 minutes";"bac_francais methodologie method_checklist_relecture"
"Que faire en premier pour la checklist de relecture ?";"vérifier problématique, axes et citations";"bac_francais methodologie method_checklist_relecture"
"Quelle erreur fréquente éviter avec la checklist de relecture ?";"relire au hasard dès la première ligne";"bac_francais methodologie method_checklist_relecture"
"Mini-situation : vérifier problématique, axes et citations. Que faut-il faire ?";"vérifier problématique, axes et citations";"bac_francais methodologie method_checklist_relecture"
"Phrase utile à retenir pour la checklist de relecture.";"Procédé -> effet -> interprétation";"bac_francais methodologie method_checklist_relecture"
"Que vérifier à la fin ?";"fautes visibles, transitions, conclusion";"bac_francais methodologie method_checklist_relecture"
"Complète la formule liée à la checklist de relecture.";"La relecture enlève les erreurs simples.";"bac_francais methodologie method_checklist_relecture"
"À quoi sert la stratégie du jour J ?";"garder une stratégie claire pendant l’épreuve";"bac_francais methodologie method_strategie_jour_j"
"Que faire en premier pour la stratégie du jour J ?";"lire, repérer, planifier, écrire, relire";"bac_francais methodologie method_strategie_jour_j"
"Quelle erreur fréquente éviter avec la stratégie du jour J ?";"se précipiter dans la rédaction";"bac_francais methodologie method_strategie_jour_j"
"Mini-situation : lire, repérer, planifier, écrire, relire. Que faut-il faire ?";"lire, repérer, planifier, écrire, relire";"bac_francais methodologie method_strategie_jour_j"
"Phrase utile à retenir pour la stratégie du jour J.";"20-20-40-10";"bac_francais methodologie method_strategie_jour_j"
"Que vérifier à la fin ?";"ne pas paniquer si un détail manque";"bac_francais methodologie method_strategie_jour_j"
"Complète la formule liée à la stratégie du jour J.";"Le jour J, il faut une méthode simple.";"bac_francais methodologie method_strategie_jour_j"
"À quoi sert la paraphrase ?";"transformer le résumé en vraie analyse";"bac_francais methodologie method_eviter_la_paraphrase"
"Que faire en premier pour la paraphrase ?";"ajouter procédé, effet et interprétation";"bac_francais methodologie method_eviter_la_paraphrase"
"Quelle erreur fréquente éviter avec la paraphrase ?";"réécrire le texte avec d’autres mots";"bac_francais methodologie method_eviter_la_paraphrase"
"Mini-situation : ajouter procédé, effet et interprétation. Que faut-il faire ?";"ajouter procédé, effet et interprétation";"bac_francais methodologie method_eviter_la_paraphrase"
"Phrase utile à retenir pour la paraphrase.";"Ce passage montre que...";"bac_francais methodologie method_eviter_la_paraphrase"
"Que vérifier à la fin ?";"chaque citation doit prouver une idée";"bac_francais methodologie method_eviter_la_paraphrase"
"Complète la formule liée à la paraphrase.";"La paraphrase ne fait pas d’analyse.";"bac_francais methodologie method_eviter_la_paraphrase"
"À quoi sert la transition ?";"relier les axes et guider la lecture";"bac_francais methodologie method_transition"
"Que faire en premier pour la transition ?";"rappeler le bilan du premier axe";"bac_francais methodologie method_transition"
"Quelle erreur fréquente éviter avec la transition ?";"changer brusquement d’idée";"bac_francais methodologie method_transition"
"Mini-situation : rappeler le bilan du premier axe. Que faut-il faire ?";"rappeler le bilan du premier axe";"bac_francais methodologie method_transition"
"Phrase utile à retenir pour la transition.";"Après avoir montré que..., il faut maintenant étudier...";"bac_francais methodologie method_transition"
"Que vérifier à la fin ?";"la progression doit rester claire";"bac_francais methodologie method_transition"
"Complète la formule liée à la transition.";"La transition donne de la cohérence.";"bac_francais methodologie method_transition"
"À quoi sert une citation ?";"lire une citation courte et en tirer du sens";"bac_francais methodologie method_analyser_une_citation"
